11333646552,       9993,      10055,         12-13-2013, 11333646552, 
11610112591,       9890,      10085,         01-01-2011, 18608724886, 
15648635486,       9861,       9979,         11-06-2014, 16078516279, 
16078516279,       9998,      10098,         08-11-2010, 11333646552, 
16514921918,      10040,      10062,         12-12-2007, 16760652461, 
16760652461,      10007,       9919,         06-28-2015, 17370907203, 
16920348975,      10079,       9932,         10-22-2013, 11333646552, 
17370907203,       9895,      10139,         05-19-2004, 11610112591, 
18608724886,      10067,       9891,         10-04-2001, 16078516279, 
19102787154,      10170,       9840,         04-22-2009, 11333646552, 
